,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Apt Size
1991,sh,t0017778,Rent Change,1/31/2015,FT5906L,12/28/2012,7/31/2015,560.0,1,932,2,1.0,16.0,181 days 00:00:00.000000000,medium
1992,ce,t0017985,Rent Change,1/27/2014,C5269H,2/1/2014,,578.0,0,675,1,1.0,0.0,,medium
1993,ce,t0017985,Rent Change,1/27/2014,C5269H,2/1/2014,,590.0,0,675,1,1.0,12.0,,medium
1994,ce,t0017988,Rent Change,4/30/2015,S1500-5C,1/6/2014,,700.0,0,955,2,1.5,0.0,,medium
1995,ce,t0017988,Rent Change,5/1/2016,S1500-5C,1/6/2014,10/31/2016,742.0,1,955,2,1.5,42.0,183 days 00:00:00.000000000,medium
1996,ce,t0017989,Rent Change,1/3/2014,C0003J,1/3/2014,,751.0,0,905,2,1.0,0.0,,medium
1997,ce,t0017989,Rent Change,1/3/2014,C0003J,1/3/2014,8/27/2014,695.0,1,905,2,1.0,-56.0,236 days 00:00:00.000000000,medium
1998,ce,t0017998,Rent Change,3/31/2015,S1500-1L,12/27/2013,,712.0,0,955,2,1.0,0.0,,medium
1999,ce,t0017998,Rent Change,5/1/2016,S1500-1L,12/27/2013,,749.0,0,955,2,1.0,37.0,,medium
2000,ce,t0017998,Rent Change,3/31/2017,S1500-1L,12/27/2013,,779.0,0,955,2,1.0,30.0,,medium
2001,ce,t0017998,Rent Change,3/31/2018,S1500-1L,12/27/2013,,799.0,0,955,2,1.0,20.0,,medium
2002,ce,t0018027,Rent Change,4/30/2015,C5269F,1/17/2014,4/30/2016,598.0,1,675,1,1.0,0.0,366 days 00:00:00.000000000,medium
2003,sh,t0018029,Rent Change,12/30/2013,WC5960N,1/25/2014,,586.0,0,963,2,1.5,0.0,,medium
2004,sh,t0018029,Rent Change,1/31/2015,WC5933K,1/31/2014,7/31/2015,604.0,1,963,2,1.5,18.0,181 days 00:00:00.000000000,medium
2005,sh,t0018030,Rent Change,12/30/2013,FT5906J,12/31/2013,,535.0,0,932,2,1.0,0.0,,medium
2006,sh,t0018030,Rent Change,12/31/2013,FT5906J,12/31/2013,,519.0,0,932,2,1.0,-16.0,,medium
2007,sh,t0018030,Rent Change,5/31/2014,FT5906J,12/31/2013,8/31/2014,539.0,1,932,2,1.0,20.0,92 days 00:00:00.000000000,medium
2008,sh,t0018031,Rent Change,12/31/2013,TT1174,12/30/2013,,899.0,0,1350,3,1.5,0.0,,large
2009,sh,t0018031,Rent Change,5/31/2014,TT1174,12/30/2013,1/1/2015,921.0,1,1350,3,1.5,22.0,215 days 00:00:00.000000000,large
2010,sh,t0018032,Rent Change,12/31/2013,AC1069,12/30/2013,,899.0,0,1350,3,1.5,0.0,,large
2011,sh,t0018032,Rent Change,3/1/2015,AC1069,12/30/2013,7/29/2015,924.0,1,1350,3,1.5,25.0,150 days 00:00:00.000000000,large
2012,sh,t0018037,Rent Change,1/31/2014,WC5956I,1/14/2014,,569.0,0,963,2,1.5,0.0,,medium
2013,sh,t0018037,Rent Change,1/31/2015,WC5956I,1/14/2014,1/31/2016,586.0,1,963,2,1.5,17.0,365 days 00:00:00.000000000,medium
2014,ce,t0018043,Rent Change,12/31/2013,S1458D,1/3/2014,,581.0,0,675,1,1.0,0.0,,medium
2015,ce,t0018043,Rent Change,12/31/2013,S1458D,1/3/2014,,576.0,0,675,1,1.0,-5.0,,medium
2016,sh,t0018046,Rent Change,12/31/2013,SH5841,1/24/2014,,627.0,0,1006,2,1.5,0.0,,large
2017,sh,t0018046,Rent Change,1/17/2014,SH5841,1/24/2014,2/3/2015,609.0,1,1006,2,1.5,-18.0,382 days 00:00:00.000000000,large
2018,sh,t0018047,Rent Change,1/31/2014,TH5833,1/10/2014,,609.0,0,1006,2,1.5,0.0,,large
2019,sh,t0018047,Rent Change,1/31/2015,TH5833,1/10/2014,8/10/2015,627.0,1,1006,2,1.5,18.0,191 days 00:00:00.000000000,large
2020,sh,t0018048,Rent Change,1/3/2014,WC5966E,1/3/2014,,586.0,0,963,2,1.5,0.0,,medium
2021,sh,t0018048,Rent Change,1/31/2014,WC5966E,1/3/2014,11/26/2014,569.0,1,963,2,1.5,-17.0,299 days 00:00:00.000000000,medium
2022,sh,t0018062,Rent Change,1/31/2014,SH5826,1/10/2014,7/15/2014,609.0,1,1006,3,1.5,0.0,165 days 00:00:00.000000000,large
2023,sh,t0018063,Rent Change,1/31/2014,AC1134,1/2/2014,,899.0,0,1350,3,1.5,0.0,,large
2024,sh,t0018063,Rent Change,1/31/2015,AC1134,1/2/2014,,926.0,0,1350,3,1.5,27.0,,large
2025,sh,t0018063,Rent Change,1/31/2016,AC1134,1/2/2014,,945.0,0,1350,3,1.5,19.0,,large
2026,sh,t0018063,Rent Change,1/31/2017,AC1134,1/2/2014,,980.0,0,1350,3,1.5,35.0,,large
2027,sh,t0018063,Rent Change,1/31/2018,AC1134,1/2/2014,,1010.0,0,1350,3,1.5,30.0,,large
2028,sh,t0018064,Rent Change,1/15/2014,SH5774,1/17/2014,,658.0,0,1006,3,1.5,0.0,,large
2029,sh,t0018064,Rent Change,1/20/2014,SH5774,1/17/2014,1/30/2015,639.0,1,1006,3,1.5,-19.0,375 days 00:00:00.000000000,large
2030,ce,t0018068,Rent Change,1/16/2014,S1458D,1/18/2014,,581.0,0,675,1,1.0,0.0,,medium
2031,ce,t0018068,Rent Change,1/18/2014,S1458D,1/18/2014,,576.0,0,675,1,1.0,-5.0,,medium
2032,ce,t0018068,Rent Change,1/31/2015,S1458D,1/18/2014,1/29/2016,588.0,1,675,1,1.0,12.0,363 days 00:00:00.000000000,medium
2033,ce,t0018075,Rent Change,6/30/2014,M0007C,1/11/2014,12/31/2014,593.0,1,635,1,1.0,0.0,184 days 00:00:00.000000000,medium
2034,ce,t0018077,Rent Change,1/27/2014,S1500-2D,2/15/2014,,764.0,0,955,2,2.0,0.0,,medium
2035,ce,t0018077,Rent Change,1/27/2014,S1500-2D,2/15/2014,,705.0,0,955,2,2.0,-59.0,,medium
2036,ce,t0018077,Rent Change,5/31/2015,S1500-2D,2/15/2014,5/31/2016,726.0,1,955,2,2.0,21.0,366 days 00:00:00.000000000,medium
2037,ce,t0018091,Rent Change,1/10/2014,S1450L,1/11/2014,,601.0,0,675,1,1.0,0.0,,medium
2038,ce,t0018091,Rent Change,1/13/2014,S1450L,1/11/2014,,586.0,0,675,1,1.0,-15.0,,medium
2039,ce,t0018091,Rent Change,1/31/2015,S1450L,1/11/2014,1/31/2016,598.0,1,675,1,1.0,12.0,365 days 00:00:00.000000000,medium
2040,sh,t0018109,Rent Change,1/30/2014,WC5966B,1/31/2014,,585.0,0,963,2,1.5,0.0,,medium
2041,sh,t0018109,Rent Change,3/1/2015,WC5966B,1/31/2014,,603.0,0,963,2,1.5,18.0,,medium
2042,sh,t0018109,Rent Change,2/29/2016,WC5966B,1/31/2014,,628.0,0,963,2,1.5,25.0,,medium
2043,sh,t0018109,Rent Change,3/31/2016,WC5966B,1/31/2014,5/1/2017,603.0,1,963,2,1.5,-25.0,396 days 00:00:00.000000000,medium
2044,sh,t0018114,Rent Change,3/1/2015,FT5862J,1/31/2014,2/5/2016,551.0,1,932,2,1.0,0.0,341 days 00:00:00.000000000,medium
2045,ce,t0018117,Rent Change,6/30/2015,M0026C,1/16/2014,12/1/2015,685.0,1,875,2,1.5,6.0,154 days 00:00:00.000000000,medium
2046,ce,t0018118,Rent Change,1/17/2014,M0024D,1/18/2014,,658.0,0,875,2,1.5,0.0,,medium
2047,ce,t0018118,Rent Change,1/17/2014,M0024D,1/18/2014,1/31/2015,685.0,1,875,2,1.5,27.0,379 days 00:00:00.000000000,medium
2048,ce,t0018119,Rent Change,3/1/2015,M0011E,2/15/2014,,601.0,0,635,1,1.0,0.0,,medium
2049,ce,t0018119,Rent Change,2/29/2016,M0011E,2/15/2014,,629.0,0,635,1,1.0,28.0,,medium
2050,ce,t0018119,Rent Change,2/28/2017,M0011E,2/15/2014,2/28/2018,656.0,1,635,1,1.0,27.0,365 days 00:00:00.000000000,medium
2051,sh,t0018120,Rent Change,3/1/2015,AC1087,1/31/2014,2/29/2016,954.0,1,1350,3,1.5,0.0,365 days 00:00:00.000000000,large
2052,sh,t0018127,Rent Change,1/13/2014,SH5829,1/31/2014,,627.0,0,1006,2,1.5,0.0,,large
2053,sh,t0018127,Rent Change,3/1/2015,SH5845,1/31/2014,,646.0,0,1006,2,1.5,19.0,,large
2054,sh,t0018127,Rent Change,8/31/2015,SH5845,1/31/2014,5/31/2016,695.0,1,1006,2,1.5,49.0,274 days 00:00:00.000000000,large
2055,sh,t0018128,Rent Change,1/13/2014,SH5827,1/24/2014,,658.0,0,1006,3,1.5,0.0,,large
2056,sh,t0018128,Rent Change,1/24/2014,SH5827,1/24/2014,,639.0,0,1006,3,1.5,-19.0,,large
2057,sh,t0018128,Rent Change,3/1/2015,SH5827,1/24/2014,,658.0,0,1006,3,1.5,19.0,,large
2058,sh,t0018128,Rent Change,6/30/2015,SH5827,1/24/2014,,688.0,0,1006,3,1.5,30.0,,large
2059,sh,t0018128,Rent Change,8/31/2015,SH5827,1/24/2014,,721.0,0,1006,3,1.5,33.0,,large
2060,sh,t0018128,Rent Change,9/30/2015,SH5827,1/24/2014,11/1/2016,688.0,1,1006,3,1.5,-33.0,398 days 00:00:00.000000000,large
2061,ce,t0018137,Rent Change,1/15/2014,M0024E,1/15/2014,,686.0,0,875,2,1.5,0.0,,medium
2062,ce,t0018137,Rent Change,1/15/2014,M0024E,1/15/2014,,661.0,0,875,2,1.5,-25.0,,medium
2063,ce,t0018137,Rent Change,1/31/2015,M0024E,1/15/2014,,674.0,0,875,2,1.5,13.0,,medium
2064,ce,t0018137,Rent Change,1/31/2016,M0024E,1/15/2014,,721.0,0,875,2,1.5,47.0,,medium
2065,ce,t0018137,Rent Change,1/31/2018,M0024E,1/15/2014,,758.0,0,875,2,1.5,37.0,,medium
2066,sh,t0018141,Rent Change,3/1/2015,SH5853,1/31/2014,,646.0,0,1006,2,1.5,0.0,,large
2067,sh,t0018141,Rent Change,2/29/2016,SH5853,1/31/2014,2/9/2017,665.0,1,1006,2,1.5,19.0,346 days 00:00:00.000000000,large
2068,ce,t0018161,Rent Change,2/5/2014,M0016C,2/15/2014,,708.0,0,875,2,1.5,0.0,,medium
2069,ce,t0018161,Rent Change,2/5/2014,M0016C,2/15/2014,12/1/2014,653.0,1,875,2,1.5,-55.0,299 days 00:00:00.000000000,medium
2070,sh,t0018174,Rent Change,3/1/2015,TT1193,1/29/2014,6/1/2015,912.0,1,1350,2,1.5,0.0,92 days 00:00:00.000000000,large
2071,ce,t0018176,Rent Change,1/31/2014,C5273D,2/1/2014,,569.0,0,675,1,1.0,0.0,,medium
2072,ce,t0018176,Rent Change,2/3/2014,C5273D,2/1/2014,9/8/2014,576.0,1,675,1,1.0,7.0,217 days 00:00:00.000000000,medium
2073,ce,t0018190,Rent Change,2/10/2014,M0012A,5/3/2014,,655.0,0,875,2,1.5,0.0,,medium
2074,ce,t0018190,Rent Change,3/31/2015,M0036B,4/1/2014,3/31/2016,662.0,1,875,2,1.5,7.0,366 days 00:00:00.000000000,medium
2075,sh,t0018191,Rent Change,3/1/2015,SH5846,1/31/2014,2/29/2016,646.0,1,1006,2,1.5,0.0,365 days 00:00:00.000000000,large
2076,sh,t0018204,Rent Change,3/31/2015,TT1199,1/24/2014,,912.0,0,1350,2,1.5,0.0,,large
2077,sh,t0018204,Rent Change,5/31/2015,TT1199,1/24/2014,6/30/2017,942.0,1,1350,2,1.5,30.0,761 days 00:00:00.000000000,large
2078,sh,t0018208,Rent Change,3/1/2015,TH5822,1/30/2014,3/1/2016,646.0,1,1006,2,1.5,0.0,366 days 00:00:00.000000000,large
2079,ce,t0018210,Rent Change,1/27/2014,C5254H,1/25/2014,3/31/2015,645.0,1,955,2,2.0,0.0,428 days 00:00:00.000000000,medium
2080,ce,t0018228,Rent Change,4/30/2015,S1500-2B,1/23/2014,,705.0,0,955,2,2.0,0.0,,medium
2081,ce,t0018228,Rent Change,5/1/2016,S1500-2B,1/23/2014,,739.0,0,955,2,2.0,34.0,,medium
2082,ce,t0018228,Rent Change,4/30/2017,S1500-2B,1/23/2014,,769.0,0,955,2,2.0,30.0,,medium
2083,ce,t0018228,Rent Change,4/30/2018,S1500-2B,1/23/2014,,807.0,0,955,2,2.0,38.0,,medium
2084,ce,t0018257,Rent Change,2/6/2014,M0038D,2/28/2014,,665.0,0,875,2,1.5,0.0,,medium
2085,ce,t0018257,Rent Change,2/6/2014,M0038D,2/28/2014,,635.0,0,875,2,1.5,-30.0,,medium
2086,ce,t0018257,Rent Change,2/11/2014,M0036F,2/12/2014,,665.0,0,875,2,1.5,30.0,,medium
2087,ce,t0018257,Rent Change,2/11/2014,M0036F,2/28/2014,,762.0,0,875,2,1.5,97.0,,medium
2088,ce,t0018257,Rent Change,2/13/2014,M0036F,2/11/2014,,635.0,0,875,2,1.5,-127.0,,medium
2089,ce,t0018257,Rent Change,2/28/2014,M0036F,2/11/2014,2/28/2015,665.0,1,875,2,1.5,30.0,365 days 00:00:00.000000000,medium
2090,sh,t0018264,Rent Change,3/1/2015,SH5772,2/28/2014,,678.0,0,1006,3,1.5,0.0,,large
2091,sh,t0018264,Rent Change,3/31/2017,SH5772,2/28/2014,,703.0,0,1006,3,1.5,25.0,,large
2092,sh,t0018264,Rent Change,3/31/2018,SH5772,2/28/2014,,745.0,0,1006,3,1.5,42.0,,large
2093,sh,t0018270,Rent Change,1/28/2014,TH5811,1/30/2014,1/7/2015,751.0,1,1156,3,1.5,0.0,344 days 00:00:00.000000000,large
2094,sh,t0018271,Rent Change,1/30/2014,TH5814,2/28/2014,,658.0,0,1006,3,1.5,0.0,,large
2095,sh,t0018271,Rent Change,2/10/2014,SH5755,2/28/2014,,774.0,0,1156,3,1.5,116.0,,large
2096,ce,t0018281,Rent Change,2/7/2014,M0003F,2/7/2014,,743.0,0,875,2,1.5,0.0,,medium
2097,ce,t0018281,Rent Change,2/14/2014,M0003F,2/8/2014,,651.0,0,875,2,1.5,-92.0,,medium
2098,ce,t0018281,Rent Change,3/1/2015,M0003F,2/8/2014,6/1/2015,658.0,1,875,2,1.5,7.0,92 days 00:00:00.000000000,medium
2099,ce,t0018282,Rent Change,3/31/2015,S1458G,2/27/2014,8/31/2015,596.0,1,675,1,1.0,0.0,153 days 00:00:00.000000000,medium
2100,sh,t0018287,Rent Change,1/31/2014,TH5845,1/31/2012,3/16/2015,751.0,1,1156,3,1.5,0.0,409 days 00:00:00.000000000,large
2101,sh,t0019059,Rent Change,2/11/2014,AC1127,2/14/2014,,912.0,0,1350,2,1.5,0.0,,large
2102,sh,t0019059,Rent Change,2/14/2014,AC1127,2/14/2014,2/28/2015,885.0,1,1350,2,1.5,-27.0,379 days 00:00:00.000000000,large
2103,sh,t0019062,Rent Change,3/31/2015,WC5940A,3/14/2014,,582.0,0,950,2,2.0,0.0,,medium
2104,sh,t0019062,Rent Change,3/31/2016,WC5940A,3/14/2014,,609.0,0,950,2,2.0,27.0,,medium
2105,sh,t0019062,Rent Change,3/31/2017,WC5940A,3/14/2014,,632.0,0,950,2,2.0,23.0,,medium
2106,sh,t0019062,Rent Change,4/30/2017,WC5940A,3/14/2014,4/3/2018,634.0,1,950,2,2.0,2.0,338 days 00:00:00.000000000,medium
2107,ce,t0019072,Rent Change,1/31/2014,M0038D,2/4/2014,,699.0,0,875,2,1.5,0.0,,medium
2108,ce,t0019072,Rent Change,2/4/2014,M0038D,2/4/2014,5/3/2014,665.0,1,875,2,1.5,-34.0,88 days 00:00:00.000000000,medium
2109,sh,t0019078,Rent Change,6/30/2017,WC5933E,6/30/2016,6/27/2018,641.0,1,963,2,1.5,0.0,362 days 00:00:00.000000000,medium
2110,ce,t0019098,Rent Change,1/31/2015,S1450K,1/30/2014,,612.0,0,675,1,1.0,0.0,,medium
2111,ce,t0019098,Rent Change,3/1/2015,S1450K,1/30/2014,,600.0,0,675,1,1.0,-12.0,,medium
2112,ce,t0019098,Rent Change,4/30/2015,S1450K,1/30/2014,,612.0,0,675,1,1.0,12.0,,medium
2113,ce,t0019098,Rent Change,5/1/2016,S1450K,1/30/2014,4/30/2017,649.0,1,675,1,1.0,37.0,364 days 00:00:00.000000000,medium
2114,ce,t0019099,Rent Change,5/31/2015,M0004F,2/4/2014,,695.0,0,875,2,1.5,0.0,,medium
2115,ce,t0019099,Rent Change,5/31/2016,M0004F,2/4/2014,3/27/2017,799.0,1,875,2,1.5,104.0,300 days 00:00:00.000000000,medium
2116,sh,t0019103,Rent Change,3/1/2015,WC5946J,2/14/2014,,599.0,0,950,2,2.0,0.0,,medium
2117,sh,t0019103,Rent Change,2/28/2017,WC5946J,2/14/2014,,624.0,0,950,2,2.0,25.0,,medium
2118,sh,t0019103,Rent Change,2/28/2018,WC5946J,2/14/2014,,685.0,0,950,2,2.0,61.0,,medium
2119,sh,t0019116,Rent Change,2/28/2014,WC5970C,2/20/2014,,1122.0,0,950,2,1.0,0.0,,medium
2121,sh,t0019116,Rent Change,3/1/2015,WC5970C,2/20/2014,,578.0,0,950,2,1.0,17.0,,medium
2122,sh,t0019116,Rent Change,2/29/2016,WC5970C,2/20/2014,3/6/2017,597.0,1,950,2,1.0,19.0,371 days 00:00:00.000000000,medium
2123,sh,t0019120,Rent Change,4/30/2014,WC5950A,3/14/2014,1/31/2015,545.0,1,950,2,2.0,0.0,276 days 00:00:00.000000000,medium
2124,ce,t0019125,Rent Change,2/19/2014,S1500-5J,2/20/2014,,753.0,0,955,2,1.0,0.0,,medium
2125,ce,t0019125,Rent Change,2/19/2014,S1500-5J,2/20/2014,,695.0,0,955,2,1.0,-58.0,,medium
2126,ce,t0019125,Rent Change,5/31/2015,S1500-5J,2/20/2014,,716.0,0,955,2,1.0,21.0,,medium
2127,ce,t0019125,Rent Change,5/31/2016,S1500-5J,2/20/2014,,749.0,0,955,2,1.0,33.0,,medium
2128,ce,t0019125,Rent Change,5/31/2017,S1500-5J,2/20/2014,,779.0,0,955,2,1.0,30.0,,medium
2129,ce,t0019125,Rent Change,5/31/2018,S1500-5J,2/20/2014,,819.0,0,955,2,1.0,40.0,,medium
2130,ce,t0019126,Rent Change,4/1/2014,S1500-7D,5/1/2014,,810.0,0,1088,2,1.5,0.0,,large
2131,ce,t0019126,Rent Change,5/1/2016,S1500-7D,5/1/2014,,849.0,0,1088,2,1.5,39.0,,large
2132,ce,t0019126,Rent Change,4/30/2017,S1500-7D,5/1/2014,1/31/2018,891.0,1,1088,2,1.5,42.0,276 days 00:00:00.000000000,large
2133,ce,t0019128,Rent Change,2/6/2014,S1500-5G,2/6/2014,,685.0,0,955,2,1.0,0.0,,medium
2134,ce,t0019128,Rent Change,2/6/2014,S1500-5G,2/6/2014,,735.0,0,955,2,1.0,50.0,,medium
2135,ce,t0019128,Rent Change,3/31/2014,S1500-5G,2/6/2014,12/1/2014,685.0,1,955,2,1.0,-50.0,245 days 00:00:00.000000000,medium
2136,ce,t0019132,Rent Change,2/10/2014,M0036C,2/28/2014,,744.0,0,875,2,1.5,0.0,,medium
2137,ce,t0019132,Rent Change,3/1/2014,S1500-2L,3/1/2014,,705.0,0,955,2,1.0,-39.0,,medium
2138,sh,t0019142,Rent Change,3/1/2015,WC5933E,2/15/2014,5/31/2015,622.0,1,963,2,1.5,0.0,91 days 00:00:00.000000000,medium
2139,ce,t0019147,Rent Change,3/1/2015,M0005E,2/14/2014,2/29/2016,591.0,1,635,1,1.0,0.0,365 days 00:00:00.000000000,medium
2140,ce,t0019158,Rent Change,3/1/2015,M0024F,2/13/2014,2/29/2016,672.0,1,875,2,1.5,0.0,365 days 00:00:00.000000000,medium
2141,sh,t0019163,Rent Change,4/15/2014,TH5839,6/15/2014,5/31/2015,646.0,1,1006,2,1.5,0.0,411 days 00:00:00.000000000,large
2142,sh,t0019208,Rent Change,2/19/2014,SH5755,4/1/2014,,774.0,0,1156,3,1.5,0.0,,large
2143,sh,t0019208,Rent Change,3/31/2015,SH5755,3/28/2014,,797.0,0,1156,3,1.5,23.0,,large
2144,sh,t0019208,Rent Change,3/31/2016,SH5755,3/28/2014,8/1/2016,824.0,1,1156,3,1.5,27.0,123 days 00:00:00.000000000,large
2145,sh,t0019210,Rent Change,3/1/2015,AC1096,2/17/2014,4/12/2017,983.0,1,1350,3,1.5,0.0,773 days 00:00:00.000000000,large
2146,ce,t0019220,Rent Change,2/18/2014,C5273G,3/28/2014,,590.0,0,675,1,1.0,0.0,,medium
2147,ce,t0019224,Rent Change,2/24/2014,S1500-3E,2/26/2014,,670.0,0,955,2,1.0,0.0,,medium
2148,ce,t0019224,Rent Change,2/26/2014,S1500-3E,2/26/2014,2/28/2015,705.0,1,955,2,1.0,35.0,367 days 00:00:00.000000000,medium
2149,sh,t0019234,Rent Change,3/31/2015,FT5841,3/9/2014,4/1/2016,983.0,1,1350,3,1.5,0.0,367 days 00:00:00.000000000,large
2150,sh,t0019257,Rent Change,3/1/2015,AC1066,2/28/2014,,983.0,0,1350,3,1.5,0.0,,large
2151,sh,t0019257,Rent Change,4/30/2018,AC1066,2/28/2014,,1035.0,0,1350,3,1.5,52.0,,large
2152,sh,t0019257,Rent Change,7/26/2018,AC1066,2/28/2014,,983.0,0,1350,3,1.5,-52.0,,large
2153,sh,t0019258,Rent Change,2/18/2014,WAIT,3/31/2014,,774.0,0,868,2,,0.0,,medium
2154,sh,t0019258,Rent Change,2/18/2014,WAIT,3/31/2014,4/20/2015,774.0,1,0,0,,0.0,426 days 00:00:00.000000000,
2155,ce,t0019514,Rent Change,2/27/2014,S1452J,3/15/2014,,629.0,0,675,1,1.0,0.0,,medium
2156,ce,t0019514,Rent Change,2/27/2014,S1452J,3/15/2014,3/31/2015,600.0,1,675,1,1.0,-29.0,397 days 00:00:00.000000000,medium
2157,sh,t0019516,Rent Change,3/1/2015,SH5942,2/28/2014,,665.0,0,1006,2,1.5,0.0,,large
2158,sh,t0019516,Rent Change,2/29/2016,SH5942,2/28/2014,,695.0,0,1006,2,1.5,30.0,,large
2159,sh,t0019516,Rent Change,1/31/2017,SH5942,2/28/2014,3/7/2017,696.0,1,1006,2,1.5,1.0,35 days 00:00:00.000000000,large
2160,sh,t0019518,Rent Change,3/5/2014,TH5777,3/28/2014,,774.0,0,1156,3,1.5,0.0,,large
2161,ce,t0019538,Rent Change,2/24/2014,C0007E,3/8/2014,3/31/2015,619.0,1,675,1,1.0,0.0,400 days 00:00:00.000000000,medium
2162,sh,t0019544,Rent Change,3/1/2015,WC5950J,2/24/2014,4/10/2015,599.0,1,950,2,2.0,0.0,40 days 00:00:00.000000000,medium
2163,sh,t0019555,Rent Change,3/31/2015,FT5801,2/28/2014,,983.0,0,1350,3,1.5,0.0,,large
2164,sh,t0019555,Rent Change,3/31/2016,FT5801,2/28/2014,4/4/2017,990.0,1,1350,3,1.5,7.0,369 days 00:00:00.000000000,large
2165,sh,t0019562,Rent Change,3/14/2014,SH5839,3/15/2014,,646.0,0,1006,2,1.5,0.0,,large
2166,sh,t0019579,Rent Change,3/31/2015,WC5933P,3/28/2014,3/30/2016,622.0,1,963,2,1.5,0.0,365 days 00:00:00.000000000,medium
2167,sh,t0019586,Rent Change,3/1/2015,FT5880B,2/28/2014,6/30/2015,589.0,1,984,2,1.0,0.0,121 days 00:00:00.000000000,medium
2168,ce,t0019595,Rent Change,4/16/2014,C5252F,6/1/2014,,651.0,0,905,1,1.0,0.0,,medium
2169,ce,t0019595,Rent Change,6/30/2015,C5252F,6/2/2014,6/30/2016,671.0,1,905,1,1.0,20.0,366 days 00:00:00.000000000,medium
2170,ce,t0019632,Rent Change,3/20/2014,M0012D,6/14/2014,,675.0,0,875,2,1.5,0.0,,medium
2171,ce,t0019632,Rent Change,6/30/2015,M0012D,6/14/2014,9/30/2015,695.0,1,875,2,1.5,20.0,92 days 00:00:00.000000000,medium
2172,ce,t0019651,Rent Change,3/8/2014,M0036C,3/15/2014,,705.0,0,875,2,1.5,0.0,,medium
2173,ce,t0019651,Rent Change,3/8/2014,M0036C,3/15/2014,,665.0,0,875,2,1.5,-40.0,,medium
2174,ce,t0019654,Rent Change,3/31/2015,M0022D,3/19/2014,1/31/2016,682.0,1,875,2,1.5,0.0,306 days 00:00:00.000000000,medium
2175,sh,t0019673,Rent Change,3/5/2014,SH5850,4/1/2014,,646.0,0,1006,2,1.5,0.0,,large
2176,sh,t0019673,Rent Change,3/31/2015,SH5850,3/28/2014,,665.0,0,1006,2,1.5,19.0,,large
2177,sh,t0019673,Rent Change,9/30/2015,SH5850,3/28/2014,8/16/2016,695.0,1,1006,2,1.5,30.0,321 days 00:00:00.000000000,large
2178,sh,t0019683,Rent Change,3/31/2015,WC5966I,3/8/2014,,622.0,0,963,2,1.5,0.0,,medium
2179,sh,t0019683,Rent Change,3/31/2016,WC5966I,3/8/2014,,628.0,0,963,2,1.5,6.0,,medium
2180,sh,t0019683,Rent Change,4/30/2017,WC5966I,3/8/2014,,641.0,0,963,2,1.5,13.0,,medium
2181,sh,t0019683,Rent Change,4/30/2018,WC5966I,3/8/2014,,675.0,0,963,2,1.5,34.0,,medium
2182,ce,t0019688,Rent Change,4/7/2014,C0007C,5/1/2014,,619.0,0,675,1,1.0,0.0,,medium
2183,ce,t0019688,Rent Change,5/31/2015,C0007C,5/16/2014,,638.0,0,675,1,1.0,19.0,,medium
2184,ce,t0019688,Rent Change,5/31/2016,C0007C,5/16/2014,,658.0,0,675,1,1.0,20.0,,medium
2185,ce,t0019688,Rent Change,5/31/2017,C0007C,5/16/2014,5/31/2018,739.0,1,675,1,1.0,81.0,365 days 00:00:00.000000000,medium
2186,ce,t0019693,Rent Change,3/31/2014,M0034B,4/7/2014,,730.0,0,875,2,1.5,0.0,,medium
2187,ce,t0019693,Rent Change,3/31/2014,M0034B,4/7/2014,,705.0,0,875,2,1.5,-25.0,,medium
2190,sh,t0019694,Rent Change,6/30/2015,AC1151,6/30/2014,,939.0,0,1350,2,1.5,27.0,,large
2191,sh,t0019694,Rent Change,6/30/2016,AC1151,6/30/2014,,975.0,0,1350,2,1.5,36.0,,large
2192,sh,t0019694,Rent Change,6/30/2017,AC1151,6/30/2014,,1000.0,0,1350,2,1.5,25.0,,large
2193,sh,t0019694,Rent Change,6/30/2018,AC1151,6/30/2014,,1060.0,0,1350,2,1.5,60.0,,large
2194,ce,t0019698,Rent Change,3/31/2015,C5326J,3/29/2014,2/13/2016,635.0,1,675,1,1.0,0.0,319 days 00:00:00.000000000,medium
2195,ce,t0019700,Rent Change,5/31/2015,S1500-5A,5/15/2014,,706.0,0,955,2,1.0,0.0,,medium
2196,ce,t0019700,Rent Change,5/31/2016,S1500-5A,5/15/2014,6/9/2017,739.0,1,955,2,1.0,33.0,374 days 00:00:00.000000000,medium
2197,ce,t0019701,Rent Change,3/31/2014,C5271J,4/1/2014,,639.0,0,675,1,1.0,0.0,,medium
2198,ce,t0019701,Rent Change,3/31/2014,C5271J,4/1/2014,,610.0,0,675,1,1.0,-29.0,,medium
2199,ce,t0019701,Rent Change,3/31/2014,S1454J,4/1/2014,,639.0,0,675,1,1.0,29.0,,medium
2200,ce,t0019701,Rent Change,3/31/2014,S1454J,4/1/2014,3/31/2015,610.0,1,675,1,1.0,-29.0,365 days 00:00:00.000000000,medium
2201,ce,t0019734,Rent Change,5/31/2015,M0028B,5/25/2014,,726.0,0,875,2,1.5,0.0,,medium
2202,ce,t0019734,Rent Change,5/31/2016,M0028B,5/25/2014,,764.0,0,875,2,1.5,38.0,,medium
