,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Apt Size
5666,ce,t0038222,Rent Change,2/12/2018,M0003E,2/17/2018,,858.0,0,875,2,1.5,109.0,,medium
5667,mpg,t0038232,Rent Change,2/28/2018,2022-03A,2/3/2018,,1449.0,0,1040,2,2.0,0.0,,large
5668,mpg,t0038241,Rent Change,2/12/2018,2024-13C,5/10/2018,,1699.0,0,1240,2,2.0,0.0,,large
5669,mpg,t0038241,Rent Change,3/5/2018,1986-01A,3/31/2018,,1200.0,0,1240,2,2.0,-499.0,,large
5670,ce,t0038242,Rent Change,2/28/2018,M0034B,2/5/2018,3/15/2018,883.0,1,875,2,1.5,0.0,15 days 00:00:00.000000000,medium
5671,ce,t0038243,Rent Change,2/3/2018,M0006B,3/24/2018,,728.0,0,875,2,1.5,0.0,,medium
5672,sh,t0038244,Rent Change,2/9/2018,TH5914,2/9/2018,,900.0,0,1156,3,1.5,0.0,,large
5673,sh,t0038246,Rent Change,2/5/2018,TH5914,2/5/2018,,900.0,0,1156,3,1.5,0.0,,large
5674,sh,t0038246,Rent Change,2/5/2018,TH5813,2/5/2018,,960.0,0,1156,3,1.5,60.0,,large
5675,sh,t0038246,Rent Change,4/30/2018,TH5813,2/5/2018,,890.0,0,1156,3,1.5,-70.0,,large
5676,ce,t0038256,Rent Change,3/31/2018,C5303J,3/1/2018,,734.0,0,675,1,1.0,0.0,,medium
5677,mpg,t0038261,Rent Change,2/19/2018,1972-07A,2/21/2018,,1150.0,0,960,2,2.0,0.0,,medium
5678,mpg,t0038261,Rent Change,3/1/2018,1994-08B,3/3/2018,,1100.0,0,895,2,2.0,-50.0,,medium
5679,mpg,t0038265,Rent Change,2/6/2018,1968-08C,2/24/2018,,1099.0,0,835,1,1.0,0.0,,medium
5680,mpg,t0038272,Rent Change,2/28/2018,2022-03B,2/16/2018,,1521.45,0,1040,2,2.0,0.0,,large
5681,sh,t0038273,Rent Change,2/8/2018,SH5823,2/16/2018,,858.0,0,1006,3,1.5,0.0,,large
5682,sh,t0038273,Rent Change,2/8/2018,SH5823,2/23/2018,,800.0,0,1006,3,1.5,-58.0,,large
5683,sh,t0038273,Rent Change,2/15/2018,FT5880D,2/16/2018,8/22/2018,685.0,1,984,2,1.0,-115.0,188 days 00:00:00.000000000,medium
5684,mpg,t0038275,Rent Change,2/19/2018,1966-01A,3/3/2018,,1299.0,0,895,2,2.0,0.0,,medium
5685,sh,t0038277,Rent Change,2/9/2018,FT5862G,2/13/2018,,650.0,0,932,2,1.0,0.0,,medium
5686,sh,t0038277,Rent Change,2/9/2018,FT5880D,2/13/2018,6/15/2018,685.0,1,984,2,1.0,35.0,126 days 00:00:00.000000000,medium
5687,mpg,t0038281,Rent Change,2/16/2018,2006-12A,5/19/2018,,1050.0,0,835,1,1.0,0.0,,medium
5688,mpg,t0038281,Rent Change,2/19/2018,2004-06B,5/19/2018,,1449.0,0,1040,2,2.0,399.0,,large
5689,mpg,t0038281,Rent Change,2/22/2018,2032-01A,5/19/2018,,1299.0,0,895,2,2.0,-150.0,,medium
5690,mpg,t0038281,Rent Change,4/4/2018,1968-12A,5/19/2018,,1119.0,0,835,1,1.0,-180.0,,medium
5691,mpg,t0038281,Rent Change,5/31/2018,1986-10A,5/23/2018,,1099.0,0,835,1,1.0,-20.0,,medium
5692,mpg,t0038284,Rent Change,11/9/2017,1968-09B,11/25/2017,,1099.0,0,835,1,1.0,0.0,,medium
5693,mpg,t0038284,Rent Change,11/12/2017,1992-02B,11/25/2017,2/9/2018,1399.0,1,930,2,2.0,300.0,89 days 00:00:00.000000000,medium
5694,fh,t0038295,Rent Change,9/10/2018,1090DS,9/2/2018,,1010.0,0,912,2,1.0,0.0,,medium
5695,ce,t0038301,Rent Change,5/31/2018,M0005F,5/2/2018,,678.0,0,635,1,1.0,0.0,,medium
5696,sh,t0038308,Rent Change,2/28/2018,SH5852,2/23/2018,,852.5,0,1006,2,1.5,0.0,,large
5697,mpg,t0038314,Rent Change,2/18/2018,1968-01B,2/28/2018,,1200.0,0,1240,2,2.0,0.0,,large
5698,ce,t0038316,Rent Change,8/31/2018,S1456K,8/4/2018,,657.0,0,675,1,1.0,0.0,,medium
5699,ce,t0038318,Rent Change,2/13/2018,C5252M,2/13/2018,,859.0,0,905,1,1.0,0.0,,medium
5700,fh,t0038324,Rent Change,5/21/2018,4755C,7/15/2018,,1135.0,0,912,2,1.0,0.0,,medium
5701,fh,t0038324,Rent Change,5/21/2018,4755C,7/15/2018,,1235.0,0,912,2,1.0,100.0,,medium
5702,ce,t0039025,Rent Change,2/15/2018,M0020A,3/17/2018,,913.0,0,875,2,1.5,0.0,,medium
5703,ce,t0039025,Rent Change,3/10/2018,C5252D,4/1/2018,,839.0,0,905,1,1.0,-74.0,,medium
5704,ce,t0039025,Rent Change,4/30/2018,C5252D,4/1/2018,,923.0,0,905,1,1.0,84.0,,medium
5705,mpg,t0039035,Rent Change,3/1/2018,1972-07A,3/3/2018,,1150.0,0,960,2,2.0,0.0,,medium
5706,sh,t0039047,Rent Change,2/23/2018,SH5809,3/5/2018,,900.0,0,1156,3,1.5,0.0,,large
5707,sh,t0039047,Rent Change,2/23/2018,SH5809,3/5/2018,,850.0,0,1156,3,1.5,-50.0,,large
5708,sh,t0039047,Rent Change,3/1/2018,TH5969,3/15/2018,,800.0,0,1006,3,1.5,-50.0,,large
5709,sh,t0039047,Rent Change,3/1/2018,TH5825,3/26/2018,,900.0,0,1156,3,1.5,100.0,,large
5710,sh,t0039047,Rent Change,3/1/2018,TH5831,3/15/2018,,900.0,0,1156,3,1.5,0.0,,large
5711,mpg,t0039053,Rent Change,3/31/2018,1986-03A,3/24/2018,,2273.0,0,835,1,1.0,0.0,,medium
5715,ce,t0039063,Rent Change,2/21/2018,C0011F,3/3/2018,,759.0,0,905,2,1.0,0.0,,medium
5716,ce,t0039063,Rent Change,3/31/2018,C0011F,3/3/2018,,797.0,0,905,2,1.0,38.0,,medium
5717,sh,t0039068,Rent Change,2/23/2018,SH5802,3/15/2018,,800.0,0,1006,3,1.5,0.0,,large
5718,sh,t0039070,Rent Change,3/8/2018,WC5950K,3/31/2018,,720.0,0,950,2,2.0,0.0,,medium
5719,sh,t0039070,Rent Change,3/13/2018,SH5930,3/31/2018,,775.0,0,1006,2,1.5,55.0,,large
5720,sh,t0039070,Rent Change,3/13/2018,WC5940B,3/31/2018,,870.0,0,950,2,2.0,95.0,,medium
5721,sh,t0039072,Rent Change,2/22/2018,WC5956L,2/24/2018,,715.0,0,963,2,1.5,0.0,,medium
