ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","C5326L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5326M","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1454J","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1454L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1456J","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1456K","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1456L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1456M","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1458J","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","S1458L","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5252L","Rent","Rent","Rent",694.00,03/31/2016,708.00,02/22/2017,708.00,03/31/2017,,,
"ce","C5252M","Rent","Rent","Rent",708.00,02/22/2017,829.00,03/31/2017,829.00,03/31/2017,,,
"ce","C5250M","Rent","Rent","Rent",714.00,03/31/2016,728.00,02/22/2017,728.00,03/31/2017,,,
"ce","C5254L","Rent","Rent","Rent",714.00,03/31/2016,728.00,02/22/2017,728.00,03/31/2017,,,
"ce","S1500-1A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-1E","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
