Unit_Code,Ref_Unit_Id,Property_Code,Ref_Property_ID,Record_Type,Date,Rent,Deposit,Sqft,FSetAside,UtilityAllowance,ContractRent,RoomId,BedId,RDBasicRent,NewRentsId
1986-10A,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-10B,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-10B,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-10B,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-10B,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-10B,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-10C,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-10C,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-11A,,mpg,,New Unit,8/2/2017,1050,0,835,0,0,0,,,0,
1986-11A,,mpg,,Rent Change,10/26/2018,1126,0,835,0,0,0,,,0,
1986-11B,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-11B,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-11B,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-11B,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-11B,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-11C,,mpg,,New Unit,8/2/2017,1099,0,835,0,0,0,,,0,
1986-11C,,mpg,,Rent Change,2/21/2018,1119,0,835,0,0,0,,,0,
1986-11C,,mpg,,Rent Change,4/25/2018,1150,0,835,0,0,0,,,0,
1986-11C,,mpg,,Rent Change,4/26/2018,1119,0,835,0,0,0,,,0,
1986-11C,,mpg,,Rent Change,10/26/2018,1195,0,835,0,0,0,,,0,
1986-12A,,mpg,,New Unit,8/2/2017,1699,0,1240,0,0,0,,,0,
1986-12A,,mpg,,Rent Change,1/12/2018,1649,0,1240,0,0,0,,,0,
1986-12A,,mpg,,Rent Change,1/23/2018,1599,0,1240,0,0,0,,,0,
1986-12A,,mpg,,Rent Change,1/23/2018,1649,0,1240,0,0,0,,,0,
1986-12B,,mpg,,New Unit,8/2/2017,1699,0,1240,0,0,0,,,0,
1986-12C,,mpg,,New Unit,8/2/2017,1250,0,1240,0,0,0,,,0,
1986-12C,,mpg,,Rent Change,1/23/2018,1200,0,1240,0,0,0,,,0,
1986-13A,,mpg,,New Unit,8/2/2017,1250,0,1240,0,0,0,,,0,
1986-13A,,mpg,,Rent Change,1/19/2018,1649,0,1240,0,0,0,,,0,
1986-13A,,mpg,,Rent Change,1/23/2018,1649,0,1240,0,0,0,,,0,
1986-13A,,mpg,,Rent Change,1/23/2018,1599,0,1240,0,0,0,,,0,
1986-13B,,mpg,,New Unit,8/2/2017,1250,0,1240,0,0,0,,,0,
1986-13B,,mpg,,Rent Change,1/23/2018,1200,0,1240,0,0,0,,,0,
1986-13C,,mpg,,New Unit,8/2/2017,1250,0,1240,0,0,0,,,0,
1986-13C,,mpg,,Rent Change,1/23/2018,1200,0,1240,0,0,0,,,0,
1988-06A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1988-06A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1988-06B,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
1988-06B,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
1988-07A,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1988-07A,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1988-07A,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1988-07B,,mpg,,New Unit,8/2/2017,1100,0,930,0,0,0,,,0,
1988-07B,,mpg,,Rent Change,1/23/2018,1150,0,930,0,0,0,,,0,
1988-07B,,mpg,,Rent Change,10/26/2018,1226,0,930,0,0,0,,,0,
1988-08A,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
1988-08A,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
1988-08A,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
1988-08B,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
1988-08B,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
1988-08B,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
1990-04A,,mpg,,New Unit,8/2/2017,1100,0,960,0,0,0,,,0,
1990-04A,,mpg,,Rent Change,1/23/2018,1150,0,960,0,0,0,,,0,
1990-04A,,mpg,,Rent Change,10/26/2018,1226,0,960,0,0,0,,,0,
1990-04B,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
1990-04B,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
1990-05A,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
1990-05A,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
1990-05B,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
1990-05B,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
1992-01A,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1992-01A,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1992-01A,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1992-01B,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1992-01B,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1992-01B,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1992-02A,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
1992-02A,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
1992-02A,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
1992-02B,,mpg,,New Unit,8/2/2017,1399,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,1/23/2018,1449,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,2/21/2018,1449,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,2/21/2018,1469,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,10/26/2018,1525,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,11/28/2018,1499,0,930,0,0,0,,,0,
1992-02B,,mpg,,Rent Change,12/3/2018,1525,0,930,0,0,0,,,0,
1992-03A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1992-03A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1992-03B,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1992-03B,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1994-06A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1994-06A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1994-06B,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1994-06B,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1994-07A,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
1994-07A,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
1994-07A,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
1994-07B,,mpg,,New Unit,8/2/2017,1399,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,1/12/2018,1449,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,1/23/2018,1499,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,1/23/2018,1449,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,2/21/2018,1469,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,2/21/2018,1449,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,10/26/2018,1525,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,11/28/2018,1499,0,930,0,0,0,,,0,
1994-07B,,mpg,,Rent Change,12/3/2018,1525,0,930,0,0,0,,,0,
1994-08A,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1994-08A,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1994-08A,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1994-08B,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1994-08B,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1994-08B,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1996-04A,,mpg,,New Unit,8/2/2017,1100,0,960,0,0,0,,,0,
1996-04A,,mpg,,Rent Change,1/23/2018,1150,0,960,0,0,0,,,0,
1996-04A,,mpg,,Rent Change,10/26/2018,1226,0,960,0,0,0,,,0,
1996-04B,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1996-04B,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1996-05A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1996-05A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1996-05A,,mpg,,Rent Change,10/12/2018,1449,0,1040,0,0,0,,,0,
1996-05B,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1996-05B,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1998-01A,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1998-01A,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1998-01A,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1998-01B,,mpg,,New Unit,8/2/2017,1050,0,895,0,0,0,,,0,
1998-01B,,mpg,,Rent Change,1/23/2018,1100,0,895,0,0,0,,,0,
1998-01B,,mpg,,Rent Change,10/26/2018,1176,0,895,0,0,0,,,0,
1998-02B,,mpg,,New Unit,8/2/2017,1399,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,1/23/2018,1449,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,2/21/2018,1449,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,2/21/2018,1469,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,10/26/2018,1525,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,11/28/2018,1499,0,930,0,0,0,,,0,
1998-02B,,mpg,,Rent Change,12/3/2018,1525,0,930,0,0,0,,,0,
1998-03A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
1998-03A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
1998-03B,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
1998-03B,,mpg,,Rent Change,1/12/2018,1449,0,1040,0,0,0,,,0,
1998-03B,,mpg,,Rent Change,1/23/2018,1399,0,1040,0,0,0,,,0,
1998-03B,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
2000-01A,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
2000-01A,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
2000-01A,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
2000-01B,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
2000-01B,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
2000-01B,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
2000-02A,,mpg,,New Unit,8/2/2017,1249,0,895,0,0,0,,,0,
2000-02A,,mpg,,Rent Change,1/23/2018,1299,0,895,0,0,0,,,0,
2000-02A,,mpg,,Rent Change,10/26/2018,1375,0,895,0,0,0,,,0,
2000-02B,,mpg,,New Unit,8/2/2017,1100,0,930,0,0,0,,,0,
2000-02B,,mpg,,Rent Change,1/23/2018,1150,0,930,0,0,0,,,0,
2000-02B,,mpg,,Rent Change,10/26/2018,1226,0,930,0,0,0,,,0,
2000-03A,,mpg,,New Unit,8/2/2017,1150,0,1040,0,0,0,,,0,
2000-03A,,mpg,,Rent Change,1/12/2018,1100,0,1040,0,0,0,,,0,
2000-03A,,mpg,,Rent Change,1/23/2018,1050,0,1040,0,0,0,,,0,
2000-03A,,mpg,,Rent Change,1/23/2018,1100,0,1040,0,0,0,,,0,
2000-03B,,mpg,,New Unit,8/2/2017,1499,0,1040,0,0,0,,,0,
2000-03B,,mpg,,Rent Change,1/23/2018,1449,0,1040,0,0,0,,,0,
2002-04A,,mpg,,New Unit,8/2/2017,1299,0,960,0,0,0,,,0,
2002-04A,,mpg,,Rent Change,1/23/2018,1349,0,960,0,0,0,,,0,
