,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
205,ce,t0013752,Rent Change,2015-05-31,C05280,2010-04-23,,827.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
207,ce,t0013752,Rent Change,2016-05-31,C05280,2010-04-23,,859.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
214,ce,t0036347,Move Out,2017-09-29,C05280,2017-07-17,2017-09-22,1000.0,0.0,67 days 00:00:00.000000000,1,Fairfield,OH,45014,1088,2,1.5
222,ce,t0036347,Rent Change,2017-08-31,C05280,2017-07-17,,1000.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
223,ce,t0040789,Rent Change,2018-09-21,C05280,2018-10-20,,1109.0,0.0,,0,Fairfield,OH,45014,1088,2,1.5
226,ce,t0013753,Move Out,2013-08-01,C05282,2012-07-14,2013-07-31,880.0,0.0,382 days 00:00:00.000000000,1,Fairfield,OH,45014,1400,3,2.5
230,ce,t0013753,Rent Change,2013-04-26,C05282,2012-07-14,,0.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
231,ce,t0013753,Rent Change,2013-04-30,C05282,2012-07-14,,880.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
245,ce,t0033569,Rent Change,2018-08-31,C05282,2017-09-23,,1212.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
246,ce,t0033569,Rent Change,2018-09-30,C05282,2017-09-23,,1219.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
249,ce,t0013754,Move Out,2014-01-29,C05284,1986-11-26,2014-01-29,880.0,0.0,9926 days 00:00:00.000000000,1,Fairfield,OH,45014,1400,3,2.5
254,ce,t0013754,Rent Change,2013-04-26,C05284,1986-11-26,,0.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
255,ce,t0013754,Rent Change,2013-04-30,C05284,1986-11-26,,880.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
267,ce,t0027898,Rent Change,2017-02-28,C05284,2016-02-12,,1229.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
269,ce,t0027898,Rent Change,2018-02-28,C05284,2016-02-12,,1254.0,0.0,,0,Fairfield,OH,45014,1400,3,2.5
278,ce,t0013755,Move Out,2015-08-27,C0003A,2010-07-29,2013-07-31,640.0,0.0,1098 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
283,ce,t0013755,Rent Change,2013-04-26,C0003A,2010-07-29,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
284,ce,t0013755,Rent Change,2013-04-30,C0003A,2010-07-29,,630.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
285,ce,t0013755,Rent Change,2013-06-30,C0003A,2010-07-29,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
293,ce,t0033609,Move Out,2017-07-17,C0003A,2014-08-30,2017-07-17,734.0,0.0,1052 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
301,ce,t0033609,Rent Change,2015-08-31,C0003A,2014-08-30,,696.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
306,ce,t0033609,Rent Change,2016-08-31,C0003A,2014-08-30,,734.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
