,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
343,580.0,1,675,1,1.0,10.0,435,1,0,0,0,0,0,1,0
344,610.0,1,675,1,1.0,20.0,36,1,0,0,0,0,0,1,0
346,618.0,1,675,1,1.0,18.0,365,1,0,0,0,0,0,1,0
347,630.0,1,675,1,1.0,20.0,335,1,0,0,0,0,0,1,0
353,595.0,1,675,1,1.0,25.0,92,1,0,0,0,0,0,1,0
355,609.0,1,675,1,1.0,18.0,150,1,0,0,0,0,0,1,0
367,712.0,1,955,2,2.0,27.0,397,1,0,0,0,0,0,1,0
370,719.0,1,955,2,1.0,34.0,366,1,0,0,0,0,0,1,0
372,726.0,1,955,2,1.0,21.0,364,1,0,0,0,0,0,1,0
374,664.0,1,955,2,1.0,19.0,365,1,0,0,0,0,0,1,0
375,695.0,1,955,2,1.0,10.0,396,1,0,0,0,0,0,1,0
376,746.0,1,955,2,2.0,51.0,543,1,0,0,0,0,0,1,0
378,733.0,1,955,2,2.0,18.0,134,1,0,0,0,0,0,1,0
379,675.0,1,955,2,1.0,30.0,244,1,0,0,0,0,0,1,0
380,675.0,1,955,2,1.0,10.0,0,1,0,0,0,0,0,1,0
382,712.0,1,955,2,2.0,7.0,244,1,0,0,0,0,0,1,0
383,695.0,1,955,2,1.0,10.0,214,1,0,0,0,0,0,1,0
387,778.0,1,955,2,2.0,30.0,365,1,0,0,0,0,0,1,0
388,715.0,1,955,2,2.0,30.0,61,1,0,0,0,0,0,1,0
392,749.0,1,955,2,1.0,22.0,365,1,0,0,0,0,0,1,0
394,736.0,1,955,2,2.0,21.0,365,1,0,0,0,0,0,1,0
395,685.0,1,955,2,1.0,20.0,184,1,0,0,0,0,0,1,0
396,695.0,1,955,2,2.0,10.0,92,1,0,0,0,0,0,1,0
398,692.0,1,955,2,1.0,7.0,336,1,0,0,0,0,0,1,0
399,705.0,1,955,2,2.0,30.0,153,1,0,0,0,0,0,1,0
402,758.0,1,955,2,1.0,21.0,396,1,0,0,0,0,0,1,0
406,779.0,1,955,2,2.0,31.0,395,1,0,0,0,0,0,1,0
408,716.0,1,955,2,2.0,21.0,153,1,0,0,0,0,0,1,0
411,729.0,1,955,2,1.0,32.0,365,1,0,0,0,0,0,1,0
414,759.0,1,955,2,1.0,43.0,362,1,0,0,0,0,0,1,0
416,700.0,1,955,2,1.5,20.0,243,1,0,0,0,0,0,1,0
417,711.0,1,955,2,1.5,41.0,212,1,0,0,0,0,0,1,0
424,700.0,1,955,2,1.5,30.0,91,1,0,0,0,0,0,1,0
426,726.0,1,955,2,1.0,21.0,303,1,0,0,0,0,0,1,0
432,769.0,1,955,2,1.0,15.0,22,1,0,0,0,0,0,1,0
434,700.0,1,955,2,1.5,5.0,121,1,0,0,0,0,0,1,0
437,713.0,1,955,2,1.0,21.0,30,1,0,0,0,0,0,1,0
444,689.0,1,955,2,1.0,24.0,457,1,0,0,0,0,0,1,0
446,706.0,1,955,2,1.0,11.0,335,1,0,0,0,0,0,1,0
452,675.0,1,955,2,1.5,-5.0,163,1,0,0,0,0,0,1,0
459,696.0,1,955,2,1.0,31.0,365,1,0,0,0,0,0,1,0
461,707.0,1,955,2,1.5,7.0,366,1,0,0,0,0,0,1,0
464,727.0,1,955,2,1.0,41.0,295,1,0,0,0,0,0,1,0
472,706.0,1,955,2,1.0,21.0,365,1,0,0,0,0,0,1,0
481,969.0,1,1400,3,2.5,43.0,364,1,0,0,0,0,1,0,0
485,999.0,1,1400,3,2.5,12.0,370,1,0,0,0,0,1,0,0
490,1044.0,1,1400,3,2.5,20.0,91,1,0,0,0,0,1,0,0
492,654.0,1,875,2,1.5,19.0,365,1,0,0,0,0,0,1,0
500,695.0,1,875,2,1.5,20.0,369,1,0,0,0,0,0,1,0
501,685.0,1,875,2,1.5,0.0,72,1,0,0,0,0,0,1,0
503,680.0,1,875,2,1.5,20.0,364,1,0,0,0,0,0,1,0
504,548.0,1,635,1,1.0,0.0,579,1,0,0,0,0,0,1,0
506,564.0,1,635,1,1.0,16.0,156,1,0,0,0,0,0,1,0
509,611.0,1,635,1,1.0,29.0,336,1,0,0,0,0,0,1,0
511,582.0,1,635,1,1.0,17.0,365,1,0,0,0,0,0,1,0
515,644.0,1,635,1,1.0,29.0,273,1,0,0,0,0,0,1,0
516,565.0,1,635,1,1.0,0.0,4,1,0,0,0,0,0,1,0
518,654.0,1,875,2,1.5,19.0,381,1,0,0,0,0,0,1,0
520,654.0,1,875,2,1.5,19.0,365,1,0,0,0,0,0,1,0
525,889.0,1,875,2,1.5,5.0,277,1,0,0,0,0,0,1,0
526,644.0,1,875,2,1.5,0.0,244,1,0,0,0,0,0,1,0
