,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
4583,ce,t0014092,Deposit Change,2013-11-25,M0004F,2004-09-03,2013-10-31,645.0,0.0,3345 days 00:00:00.000000000,0
4584,ce,t0014092,Deposit Accounting,2013-11-25,M0004F,2004-09-03,2013-10-31,645.0,0.0,3345 days 00:00:00.000000000,0
4630,ce,t0014096,Notice Given,2014-01-02,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,0
4631,ce,t0014096,Move Out,2014-01-31,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,1
4632,ce,t0014096,Deposit Change,2014-03-12,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,0
4633,ce,t0014096,Deposit Accounting,2014-03-12,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,0
4634,ce,t0014096,Adjust Deposit Accounting,2014-12-29,M0005E,2013-01-05,2014-01-31,565.0,0.0,391 days 00:00:00.000000000,0
4668,ce,t0014100,Notice Given,2013-07-08,M0006C,2012-08-17,2013-08-31,635.0,0.0,379 days 00:00:00.000000000,0
4669,ce,t0014100,Move Out,2013-09-04,M0006C,2012-08-17,2013-08-31,635.0,0.0,379 days 00:00:00.000000000,1
4670,ce,t0014100,Deposit Change,2013-09-23,M0006C,2012-08-17,2013-08-31,635.0,0.0,379 days 00:00:00.000000000,0
4671,ce,t0014100,Deposit Accounting,2013-09-23,M0006C,2012-08-17,2013-08-31,635.0,0.0,379 days 00:00:00.000000000,0
4734,ce,t0014105,Notice Given,2013-11-18,M0007B,2006-09-01,2013-11-15,535.0,0.0,2632 days 00:00:00.000000000,0
4735,ce,t0014105,Move Out,2013-11-18,M0007B,2006-09-01,2013-11-15,535.0,0.0,2632 days 00:00:00.000000000,1
4736,ce,t0014105,Deposit Change,2014-01-13,M0007B,2006-09-01,2013-11-15,535.0,0.0,2632 days 00:00:00.000000000,0
