ResUnitStatus,,,,,,,,,,,,,,,,,,,,,
Property_Code,Ref_Property_ID,StartDate,EndDate,Unit_Code,Date,Status,Tenant_Code,Ext_Ref_Tenant_Id,ApplyDate,ApproveDate,SignDate,MoveInDate,MoveOutDate,LeaseFromDate,LeaseToDate,NoticeDate,AvailableDate,RentReady,VacantDate,ReadyDate,Ref_Unit_Id
sh,,12/19/2013,12/19/2013,AC1133,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,1/1/2014,AC1134,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1137,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1138,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1139,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1140,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1143,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1145,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1151,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,AC1153,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,1/28/2014,FT5765,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,2/24/2014,FT5767,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,12/19/2013,FT5771,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
sh,,12/19/2013,7/8/2014,FT5773,12/19/2013,Vacant Unrented Not Ready,,,,,,,,,,,12/19/2013,0,12/19/2013,12/19/2013,
