ResUnitTypes
UnitType_Code,Ref_Property_ID,Property_Code,Description,Rent,SQFT,Beds,Baths,Deposit,MinimumRent,Maximim_Rent,UserDefined_1,UserDefined_2,UserDefined_3,UserDefined_4
"ce1br",,"ce","1/1 - Juniper (Reno)",760.00,635.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"ce1cr",,"ce","1/1 - Birch I (Reno)",879.00,905.000000,1,1.000000,0.00,0.000000,0.000000,,,,
"ce1dr",,"ce","1/2 - Birch II (Reno)",829.00,905.000000,1,2.000000,0.00,0.000000,0.000000,,,,
"ce2ar",,"ce","2/1 - Birch III (Reno)",849.00,905.000000,2,1.000000,0.00,0.000000,0.000000,,,,
"ce2fr",,"ce","2/2 - Birch IV (Reno)",899.00,955.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"ce2hr",,"ce","2/1.5 - Spruce (Reno)",1099.00,1088.000000,2,2.000000,0.00,0.000000,0.000000,,,,
"ce3ar",,"ce","3/2.5 - Pine (Reno)",1209.00,1400.000000,3,2.000000,0.00,0.000000,0.000000,,,,
"ce2er",,"ce","2/1.5 - Hemlock (New Reno)",899.00,875.000000,2,1.500000,199.00,0.000000,0.000000,,,,
"ce2dr",,"ce","2/1.5 - Pinoak Renovated",990.00,955.000000,2,1.500000,199.00,0.000000,0.000000,,,,
"ce2cr",,"ce","2/1 - Sycamore - Renovated",970.00,955.000000,2,1.000000,199.00,0.000000,0.000000,,,,
"sh2th",,"sh","2/1.5 TH - 1,006 Ft.",775.00,1006.000000,2,1.500000,99.00,0.000000,0.000000,,,,
"sh3tha",,"sh","3/1.5 TH - 1,006 Ft.",800.00,1006.000000,3,1.500000,99.00,0.000000,0.000000,,,,
"sh3thb",,"sh","3/1.5 TH - 1,156 Ft.",900.00,1156.000000,3,1.500000,99.00,0.000000,0.000000,,,,
"sh2v",,"sh","2/1.5 Vil - 1,350 Ft.",1175.00,1350.000000,2,1.500000,99.00,0.000000,0.000000,,,,
"sh3v",,"sh","3/1.5 Vil - 1,350 Ft.",1250.00,1350.000000,3,1.500000,99.00,0.000000,0.000000,,,,
"sh2a",,"sh","2/1 - 932 Ft.",650.00,932.000000,2,1.000000,99.00,0.000000,0.000000,,,,
"sh2b",,"sh","2/1 - 950 Ft.",675.00,950.000000,2,1.000000,99.00,0.000000,0.000000,,,,
"sh2c",,"sh","2/1 - 984 Ft.",685.00,984.000000,2,1.000000,99.00,0.000000,0.000000,,,,
"sh2d",,"sh","2/1.5 - 963 Ft.",715.00,963.000000,2,1.500000,99.00,0.000000,0.000000,,,,
"sh2e",,"sh","2/2 - 950 Ft.",720.00,950.000000,2,2.000000,99.00,0.000000,0.000000,,,,
".mpg3er2",,"mpg","The Greens New (Reno)",1699.00,1240.000000,3,1.500000,0.00,0.000000,0.000000,,,,
".mpg1a",,"mpg","The Prospect",1126.00,735.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".mpg1ar",,"mpg","The Prospect (Reno)",1175.00,735.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".mpg1b",,"mpg","The Arlington",1126.00,835.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".mpg1br",,"mpg","The Arlington (Reno)",1195.00,835.000000,1,1.000000,0.00,0.000000,0.000000,,,,
".mpg2a",,"mpg","The Evanston",1176.00,895.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2ar",,"mpg","The Evanston (Reno)",1375.00,895.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2b",,"mpg","The Lincoln",1226.00,930.000000,2,1.500000,0.00,0.000000,0.000000,,,,
".mpg2br",,"mpg","The Lincoln (Reno)",1525.00,930.000000,2,1.500000,0.00,0.000000,0.000000,,,,
".mpg2c",,"mpg","The Pinewood",1226.00,960.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2cr",,"mpg","The Pinewood (Reno)",1425.00,960.000000,2,1.000000,0.00,0.000000,0.000000,,,,
".mpg2d",,"mpg","The Palatine",1100.00,1040.000000,2,1.500000,0.00,0.000000,0.000000,,,,
