,Property_Code,Unit_Code,City,State,Rent,SQFT,Rent_Ready,Bedrooms,Bathrooms
140,ce,S1452J,Fairfield,OH,790,675,0,1,1.0
141,ce,S1452K,Fairfield,OH,695,675,0,1,1.0
142,ce,S1452L,Fairfield,OH,695,675,0,1,1.0
143,ce,S1452M,Fairfield,OH,695,675,0,1,1.0
144,ce,S1454A,Fairfield,OH,675,675,1,1,1.0
145,ce,S1454B,Fairfield,OH,770,675,1,1,1.0
146,ce,S1454C,Fairfield,OH,675,675,1,1,1.0
147,ce,S1454D,Fairfield,OH,675,675,0,1,1.0
148,ce,S1454E,Fairfield,OH,780,675,1,1,1.0
149,ce,S1454F,Fairfield,OH,685,675,1,1,1.0
150,ce,S1454G,Fairfield,OH,685,675,0,1,1.0
151,ce,S1454H,Fairfield,OH,780,675,0,1,1.0
152,ce,S1454J,Fairfield,OH,800,675,1,1,1.0
153,ce,S1454K,Fairfield,OH,695,675,1,1,1.0
154,ce,S1454L,Fairfield,OH,705,675,1,1,1.0
155,ce,S1454M,Fairfield,OH,695,675,1,1,1.0
156,ce,S1456A,Fairfield,OH,675,675,0,1,1.0
157,ce,S1456B,Fairfield,OH,770,675,1,1,1.0
158,ce,S1456C,Fairfield,OH,675,675,0,1,1.0
159,ce,S1456D,Fairfield,OH,770,675,1,1,1.0
160,ce,S1456E,Fairfield,OH,685,675,1,1,1.0
161,ce,S1456F,Fairfield,OH,685,675,1,1,1.0
162,ce,S1456G,Fairfield,OH,685,675,1,1,1.0
163,ce,S1456H,Fairfield,OH,685,675,1,1,1.0
164,ce,S1456J,Fairfield,OH,705,675,1,1,1.0
165,ce,S1456K,Fairfield,OH,705,675,1,1,1.0
166,ce,S1456L,Fairfield,OH,705,675,1,1,1.0
167,ce,S1456M,Fairfield,OH,705,675,0,1,1.0
168,ce,S1458A,Fairfield,OH,675,675,1,1,1.0
169,ce,S1458B,Fairfield,OH,675,675,0,1,1.0
170,ce,S1458C,Fairfield,OH,675,675,1,1,1.0
171,ce,S1458D,Fairfield,OH,675,675,0,1,1.0
172,ce,S1458E,Fairfield,OH,685,675,1,1,1.0
173,ce,S1458F,Fairfield,OH,685,675,0,1,1.0
174,ce,S1458G,Fairfield,OH,685,675,1,1,1.0
175,ce,S1458H,Fairfield,OH,685,675,1,1,1.0
176,ce,S1458J,Fairfield,OH,705,675,0,1,1.0
177,ce,S1458K,Fairfield,OH,695,675,0,1,1.0
178,ce,S1458L,Fairfield,OH,705,675,0,1,1.0
179,ce,S1458M,Fairfield,OH,695,675,1,1,1.0
180,ce,M0002A,Fairfield,OH,760,635,1,1,1.0
181,ce,M0002B,Fairfield,OH,760,635,0,1,1.0
182,ce,M0002C,Fairfield,OH,660,635,1,1,1.0
183,ce,M0002D,Fairfield,OH,670,635,1,1,1.0
184,ce,M0002E,Fairfield,OH,780,635,0,1,1.0
185,ce,M0002F,Fairfield,OH,680,635,1,1,1.0
186,ce,M0005A,Fairfield,OH,650,635,1,1,1.0
187,ce,M0005B,Fairfield,OH,760,635,0,1,1.0
188,ce,M0005C,Fairfield,OH,780,635,0,1,1.0
189,ce,M0005D,Fairfield,OH,770,635,0,1,1.0
190,ce,M0005E,Fairfield,OH,790,635,1,1,1.0
191,ce,M0005F,Fairfield,OH,670,635,1,1,1.0
192,ce,M0007A,Fairfield,OH,760,635,1,1,1.0
193,ce,M0007B,Fairfield,OH,650,635,1,1,1.0
194,ce,M0007C,Fairfield,OH,770,635,1,1,1.0
195,ce,M0007D,Fairfield,OH,670,635,1,1,1.0
196,ce,M0007E,Fairfield,OH,780,635,0,1,1.0
197,ce,M0007F,Fairfield,OH,780,635,1,1,1.0
198,ce,M0009A,Fairfield,OH,650,635,0,1,1.0
199,ce,M0009B,Fairfield,OH,650,635,1,1,1.0
200,ce,M0009C,Fairfield,OH,770,635,1,1,1.0
201,ce,M0009D,Fairfield,OH,670,635,0,1,1.0
202,ce,M0009E,Fairfield,OH,670,635,1,1,1.0
203,ce,M0009F,Fairfield,OH,680,635,1,1,1.0
204,ce,M0011A,Fairfield,OH,760,635,1,1,1.0
205,ce,M0011B,Fairfield,OH,760,635,0,1,1.0
206,ce,M0011C,Fairfield,OH,670,635,1,1,1.0
207,ce,M0011D,Fairfield,OH,660,635,0,1,1.0
208,ce,M0011E,Fairfield,OH,680,635,1,1,1.0
209,ce,M0011F,Fairfield,OH,670,635,0,1,1.0
210,ce,M0013A,Fairfield,OH,760,635,0,1,1.0
211,ce,M0013B,Fairfield,OH,760,635,1,1,1.0
212,ce,M0013C,Fairfield,OH,770,635,1,1,1.0
213,ce,M0013D,Fairfield,OH,660,635,1,1,1.0
214,ce,M0013E,Fairfield,OH,780,635,0,1,1.0
215,ce,M0013F,Fairfield,OH,670,635,0,1,1.0
216,ce,C5252A,Fairfield,OH,879,905,1,1,1.0
217,ce,C5252B,Fairfield,OH,749,905,0,1,1.0
218,ce,C5252C,Fairfield,OH,889,905,1,1,1.0
219,ce,C5252D,Fairfield,OH,889,905,1,1,1.0
220,ce,C5252E,Fairfield,OH,759,905,1,1,1.0
221,ce,C5252F,Fairfield,OH,889,905,1,1,1.0
222,ce,C5252G,Fairfield,OH,889,905,0,1,1.0
223,ce,C5252H,Fairfield,OH,889,905,1,1,1.0
224,ce,C5252J,Fairfield,OH,769,905,1,1,1.0
225,ce,C5252K,Fairfield,OH,899,905,1,1,1.0
226,ce,C5252L,Fairfield,OH,899,905,0,1,1.0
227,ce,C5252M,Fairfield,OH,909,905,0,1,1.0
228,ce,C5250B,Fairfield,OH,775,905,0,1,2.0
229,ce,C5250D,Fairfield,OH,785,905,0,1,2.0
230,ce,C5250F,Fairfield,OH,785,905,1,1,2.0
231,ce,C5250H,Fairfield,OH,785,905,1,1,2.0
232,ce,C5250K,Fairfield,OH,919,905,1,1,2.0
233,ce,C5250M,Fairfield,OH,805,905,1,1,2.0
234,ce,C5254A,Fairfield,OH,899,905,1,1,2.0
235,ce,C5254C,Fairfield,OH,899,905,1,1,2.0
236,ce,C5254E,Fairfield,OH,785,905,1,1,2.0
237,ce,C5254G,Fairfield,OH,909,905,1,1,2.0
238,ce,C5254J,Fairfield,OH,795,905,1,1,2.0
239,ce,C5254L,Fairfield,OH,919,905,1,1,2.0
240,ce,C0003A,Fairfield,OH,849,905,0,2,1.0
241,ce,C0003B,Fairfield,OH,799,905,0,2,1.0
242,ce,C0003C,Fairfield,OH,809,905,1,2,1.0
243,ce,C0003D,Fairfield,OH,859,905,1,2,1.0
244,ce,C0003E,Fairfield,OH,809,905,1,2,1.0
245,ce,C0003F,Fairfield,OH,859,905,1,2,1.0
246,ce,C0003G,Fairfield,OH,809,905,0,2,1.0
247,ce,C0003H,Fairfield,OH,809,905,1,2,1.0
248,ce,C0003J,Fairfield,OH,869,905,1,2,1.0
249,ce,C0003K,Fairfield,OH,819,905,1,2,1.0
250,ce,C0003L,Fairfield,OH,869,905,1,2,1.0
251,ce,C0003M,Fairfield,OH,869,905,0,2,1.0
252,ce,C0011A,Fairfield,OH,849,905,1,2,1.0
253,ce,C0011B,Fairfield,OH,849,905,1,2,1.0
254,ce,C0011C,Fairfield,OH,799,905,0,2,1.0
255,ce,C0011D,Fairfield,OH,799,905,1,2,1.0
256,ce,C0011E,Fairfield,OH,859,905,1,2,1.0
257,ce,C0011F,Fairfield,OH,859,905,1,2,1.0
258,ce,C0011G,Fairfield,OH,859,905,1,2,1.0
259,ce,C0011H,Fairfield,OH,859,905,1,2,1.0
260,ce,C0011J,Fairfield,OH,819,905,0,2,1.0
261,ce,C0011K,Fairfield,OH,819,905,0,2,1.0
262,ce,C0011L,Fairfield,OH,819,905,0,2,1.0
263,ce,C0011M,Fairfield,OH,869,905,1,2,1.0
264,ce,S1500-1A,Fairfield,OH,820,955,1,2,1.0
265,ce,S1500-1C,Fairfield,OH,810,955,1,2,1.0
266,ce,S1500-1E,Fairfield,OH,820,955,1,2,1.0
267,ce,S1500-1G,Fairfield,OH,810,955,1,2,1.0
268,ce,S1500-1J,Fairfield,OH,830,955,1,2,1.0
269,ce,S1500-1L,Fairfield,OH,820,955,1,2,1.0
270,ce,S1500-2A,Fairfield,OH,810,955,1,2,1.0
271,ce,S1500-2C,Fairfield,OH,810,955,1,2,1.0
272,ce,S1500-2E,Fairfield,OH,810,955,1,2,1.0
273,ce,S1500-2G,Fairfield,OH,810,955,1,2,1.0
274,ce,S1500-2J,Fairfield,OH,830,955,1,2,1.0
275,ce,S1500-2L,Fairfield,OH,820,955,1,2,1.0
276,ce,S1500-3A,Fairfield,OH,820,955,1,2,1.0
277,ce,S1500-3C,Fairfield,OH,810,955,1,2,1.0
278,ce,S1500-3E,Fairfield,OH,820,955,1,2,1.0
279,ce,S1500-3G,Fairfield,OH,810,955,1,2,1.0
280,ce,S1500-3J,Fairfield,OH,830,955,1,2,1.0
281,ce,S1500-3L,Fairfield,OH,820,955,1,2,1.0
282,ce,S1500-4A,Fairfield,OH,970,955,1,2,1.0
283,ce,S1500-4B,Fairfield,OH,970,955,1,2,1.0
284,ce,S1500-4E,Fairfield,OH,820,955,0,2,1.0
285,ce,S1500-4G,Fairfield,OH,810,955,1,2,1.0
286,ce,S1500-4J,Fairfield,OH,830,955,1,2,1.0
287,ce,S1500-4L,Fairfield,OH,820,955,1,2,1.0
288,ce,S1500-5A,Fairfield,OH,810,955,1,2,1.0
289,ce,S1500-5B,Fairfield,OH,810,955,1,2,1.0
290,ce,S1500-5E,Fairfield,OH,810,955,1,2,1.0
291,ce,S1500-5G,Fairfield,OH,810,955,1,2,1.0
292,ce,S1500-5J,Fairfield,OH,820,955,1,2,1.0
293,ce,S1500-5L,Fairfield,OH,820,955,1,2,1.0
294,ce,S1500-6A,Fairfield,OH,820,955,1,2,1.0
295,ce,S1500-6B,Fairfield,OH,820,955,0,2,1.0
296,ce,S1500-6E,Fairfield,OH,820,955,1,2,1.0
297,ce,S1500-6G,Fairfield,OH,810,955,0,2,1.0
298,ce,S1500-6J,Fairfield,OH,830,955,1,2,1.0
299,ce,S1500-6L,Fairfield,OH,990,955,1,2,1.0
300,ce,S1500-4C,Fairfield,OH,990,955,1,2,1.5
301,ce,S1500-4D,Fairfield,OH,990,955,1,2,1.5
302,ce,S1500-4F,Fairfield,OH,850,955,1,2,1.5
303,ce,S1500-4H,Fairfield,OH,840,955,1,2,1.5
304,ce,S1500-4K,Fairfield,OH,860,955,1,2,1.5
305,ce,S1500-4M,Fairfield,OH,850,955,1,2,1.5
306,ce,S1500-5C,Fairfield,OH,840,955,1,2,1.5
307,ce,S1500-5D,Fairfield,OH,840,955,1,2,1.5
308,ce,S1500-5F,Fairfield,OH,840,955,1,2,1.5
309,ce,S1500-5H,Fairfield,OH,840,955,1,2,1.5
310,ce,S1500-5K,Fairfield,OH,850,955,0,2,1.5
311,ce,S1500-5M,Fairfield,OH,850,955,1,2,1.5
312,ce,S1500-6C,Fairfield,OH,840,955,1,2,1.5
313,ce,S1500-6D,Fairfield,OH,840,955,0,2,1.5
314,ce,S1500-6F,Fairfield,OH,850,955,1,2,1.5
315,ce,S1500-6H,Fairfield,OH,840,955,0,2,1.5
316,ce,S1500-6K,Fairfield,OH,860,955,1,2,1.5
317,ce,S1500-6M,Fairfield,OH,850,955,0,2,1.5
318,ce,M0001A,Fairfield,OH,899,875,1,2,1.5
319,ce,M0001B,Fairfield,OH,770,875,0,2,1.5
320,ce,M0001C,Fairfield,OH,790,875,1,2,1.5
321,ce,M0001D,Fairfield,OH,855,875,1,2,1.5
322,ce,M0001E,Fairfield,OH,919,875,1,2,1.5
323,ce,M0001F,Fairfield,OH,790,875,1,2,1.5
324,ce,M0003A,Fairfield,OH,899,875,1,2,1.5
325,ce,M0003B,Fairfield,OH,899,875,1,2,1.5
326,ce,M0003C,Fairfield,OH,909,875,1,2,1.5
327,ce,M0003D,Fairfield,OH,790,875,1,2,1.5
328,ce,M0003E,Fairfield,OH,919,875,1,2,1.5
329,ce,M0003F,Fairfield,OH,800,875,1,2,1.5
330,ce,M0004A,Fairfield,OH,770,875,1,2,1.5
331,ce,M0004B,Fairfield,OH,899,875,0,2,1.5
332,ce,M0004C,Fairfield,OH,790,875,0,2,1.5
333,ce,M0004D,Fairfield,OH,780,875,1,2,1.5
334,ce,M0004E,Fairfield,OH,929,875,1,2,1.5
335,ce,M0004F,Fairfield,OH,919,875,1,2,1.5
336,ce,M0006A,Fairfield,OH,899,875,1,2,1.5
337,ce,M0006B,Fairfield,OH,770,875,1,2,1.5
338,ce,M0006C,Fairfield,OH,780,875,1,2,1.5
339,ce,M0006D,Fairfield,OH,994,875,0,2,1.5
340,ce,M0006E,Fairfield,OH,919,875,0,2,1.5
341,ce,M0006F,Fairfield,OH,929,875,1,2,1.5
342,ce,M0008A,Fairfield,OH,770,875,0,2,1.5
343,ce,M0008B,Fairfield,OH,770,875,1,2,1.5
344,ce,M0008C,Fairfield,OH,855,875,1,2,1.5
345,ce,M0008D,Fairfield,OH,984,875,1,2,1.5
346,ce,M0008E,Fairfield,OH,919,875,1,2,1.5
347,ce,M0008F,Fairfield,OH,790,875,1,2,1.5
348,ce,M0010A,Fairfield,OH,770,875,1,2,1.5
349,ce,M0010B,Fairfield,OH,770,875,1,2,1.5
350,ce,M0010C,Fairfield,OH,790,875,0,2,1.5
351,ce,M0010D,Fairfield,OH,909,875,1,2,1.5
352,ce,M0010E,Fairfield,OH,929,875,1,2,1.5
353,ce,M0010F,Fairfield,OH,790,875,1,2,1.5
354,ce,M0012A,Fairfield,OH,770,875,1,2,1.5
355,ce,M0012B,Fairfield,OH,899,875,1,2,1.5
356,ce,M0012C,Fairfield,OH,780,875,0,2,1.5
357,ce,M0012D,Fairfield,OH,919,875,1,2,1.5
358,ce,M0012E,Fairfield,OH,919,875,1,2,1.5
359,ce,M0012F,Fairfield,OH,800,875,1,2,1.5
360,ce,M0014A,Fairfield,OH,899,875,1,2,1.5
361,ce,M0014B,Fairfield,OH,770,875,0,2,1.5
362,ce,M0014C,Fairfield,OH,790,875,0,2,1.5
363,ce,M0014D,Fairfield,OH,780,875,1,2,1.5
364,ce,M0014E,Fairfield,OH,800,875,0,2,1.5
365,ce,M0014F,Fairfield,OH,919,875,0,2,1.5
366,ce,M0015A,Fairfield,OH,899,875,1,2,1.5
367,ce,M0015B,Fairfield,OH,770,875,0,2,1.5
368,ce,M0015C,Fairfield,OH,909,875,1,2,1.5
369,ce,M0015D,Fairfield,OH,790,875,0,2,1.5
370,ce,M0015E,Fairfield,OH,919,875,0,2,1.5
371,ce,M0015F,Fairfield,OH,929,875,1,2,1.5
372,ce,M0016A,Fairfield,OH,899,875,1,2,1.5
373,ce,M0016B,Fairfield,OH,770,875,1,2,1.5
374,ce,M0016C,Fairfield,OH,780,875,1,2,1.5
375,ce,M0016D,Fairfield,OH,790,875,0,2,1.5
376,ce,M0016E,Fairfield,OH,919,875,1,2,1.5
377,ce,M0016F,Fairfield,OH,800,875,1,2,1.5
378,ce,M0018A,Fairfield,OH,899,875,1,2,1.5
379,ce,M0018B,Fairfield,OH,974,875,1,2,1.5
380,ce,M0018C,Fairfield,OH,780,875,0,2,1.5
381,ce,M0018D,Fairfield,OH,909,875,0,2,1.5
382,ce,M0018E,Fairfield,OH,790,875,0,2,1.5
383,ce,M0018F,Fairfield,OH,790,875,1,2,1.5
384,ce,M0020A,Fairfield,OH,974,875,1,2,1.5
385,ce,M0020B,Fairfield,OH,899,875,1,2,1.5
386,ce,M0020C,Fairfield,OH,994,875,1,2,1.5
387,ce,M0020D,Fairfield,OH,984,875,0,2,1.5
388,ce,M0020E,Fairfield,OH,875,875,1,2,1.5
389,ce,M0020F,Fairfield,OH,790,875,1,2,1.5
390,ce,M0022A,Fairfield,OH,770,875,1,2,1.5
391,ce,M0022B,Fairfield,OH,899,875,0,2,1.5
392,ce,M0022C,Fairfield,OH,909,875,1,2,1.5
393,ce,M0022D,Fairfield,OH,919,875,1,2,1.5
394,ce,M0022E,Fairfield,OH,790,875,1,2,1.5
395,ce,M0022F,Fairfield,OH,800,875,0,2,1.5
396,ce,M0024A,Fairfield,OH,899,875,0,2,1.5
397,ce,M0024B,Fairfield,OH,899,875,1,2,1.5
398,ce,M0024C,Fairfield,OH,790,875,1,2,1.5
399,ce,M0024D,Fairfield,OH,780,875,1,2,1.5
400,ce,M0024E,Fairfield,OH,800,875,1,2,1.5
401,ce,M0024F,Fairfield,OH,790,875,1,2,1.5
402,ce,M0026A,Fairfield,OH,770,875,0,2,1.5
403,ce,M0026B,Fairfield,OH,770,875,1,2,1.5
404,ce,M0026C,Fairfield,OH,780,875,0,2,1.5
405,ce,M0026D,Fairfield,OH,790,875,1,2,1.5
406,ce,M0026E,Fairfield,OH,790,875,1,2,1.5
407,ce,M0026F,Fairfield,OH,800,875,0,2,1.5
408,ce,M0028A,Fairfield,OH,899,875,0,2,1.5
409,ce,M0028B,Fairfield,OH,845,875,1,2,1.5
410,ce,M0028C,Fairfield,OH,790,875,1,2,1.5
411,ce,M0028D,Fairfield,OH,780,875,1,2,1.5
412,ce,M0028E,Fairfield,OH,875,875,1,2,1.5
413,ce,M0028F,Fairfield,OH,790,875,1,2,1.5
414,ce,M0030A,Fairfield,OH,899,875,1,2,1.5
415,ce,M0030B,Fairfield,OH,770,875,1,2,1.5
416,ce,M0030C,Fairfield,OH,780,875,1,2,1.5
417,ce,M0030D,Fairfield,OH,790,875,1,2,1.5
418,ce,M0030E,Fairfield,OH,919,875,1,2,1.5
419,ce,M0030F,Fairfield,OH,800,875,1,2,1.5
420,ce,M0032A,Fairfield,OH,870,875,1,2,1.5
421,ce,M0032B,Fairfield,OH,770,875,0,2,1.5
422,ce,M0032C,Fairfield,OH,790,875,1,2,1.5
423,ce,M0032D,Fairfield,OH,780,875,1,2,1.5
424,ce,M0032E,Fairfield,OH,800,875,1,2,1.5
425,ce,M0032F,Fairfield,OH,790,875,0,2,1.5
426,ce,M0034A,Fairfield,OH,770,875,0,2,1.5
427,ce,M0034B,Fairfield,OH,845,875,1,2,1.5
428,ce,M0034C,Fairfield,OH,919,875,1,2,1.5
429,ce,M0034D,Fairfield,OH,780,875,0,2,1.5
430,ce,M0034E,Fairfield,OH,1004,875,1,2,1.5
431,ce,M0034F,Fairfield,OH,790,875,1,2,1.5
432,ce,M0036A,Fairfield,OH,770,875,0,2,1.5
433,ce,M0036B,Fairfield,OH,770,875,1,2,1.5
434,ce,M0036C,Fairfield,OH,780,875,0,2,1.5
435,ce,M0036D,Fairfield,OH,909,875,1,2,1.5
436,ce,M0036E,Fairfield,OH,790,875,1,2,1.5
437,ce,M0036F,Fairfield,OH,790,875,0,2,1.5
438,ce,M0038A,Fairfield,OH,770,875,0,2,1.5
439,ce,M0038B,Fairfield,OH,770,875,1,2,1.5
440,ce,M0038C,Fairfield,OH,780,875,1,2,1.5
441,ce,M0038D,Fairfield,OH,790,875,1,2,1.5
442,ce,M0038E,Fairfield,OH,790,875,1,2,1.5
