,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
3200,ce,t0024992,Rent Change,2018-09-30,M0014D,2015-10-01,,780.0,0,875,2,1.5,36.0,
7137,sh,t0024994,Rent Change,2015-05-01,SH5822,2015-06-20,,721.0,0,1006,3,1.5,721.0,
7138,sh,t0024994,Rent Change,2015-05-01,SH5822,2015-06-20,,700.0,0,1006,3,1.5,-21.0,
7141,sh,t0024995,Rent Change,2015-05-14,FT5880G,2015-06-29,,608.0,0,984,2,1.0,0.0,
7142,sh,t0024995,Rent Change,2015-05-14,FT5880G,2015-06-30,,595.0,0,984,2,1.0,-13.0,
7149,sh,t0024999,Rent Change,2016-03-31,AC1103,2015-04-10,,990.0,0,1350,2,1.5,0.0,
7150,sh,t0024999,Rent Change,2016-05-01,AC1103,2015-04-10,,995.0,0,1350,2,1.5,5.0,
7151,sh,t0024999,Rent Change,2017-03-31,AC1103,2015-04-10,,1006.0,0,1350,2,1.5,11.0,
7152,sh,t0024999,Rent Change,2017-04-30,AC1103,2015-04-10,,1010.0,0,1350,2,1.5,4.0,
7153,sh,t0024999,Rent Change,2018-04-30,AC1103,2015-04-10,2018-12-31,1110.0,1,1350,2,1.5,100.0,245 days 00:00:00.000000000
233,ce,t0025007,Rent Change,2016-03-31,C0007E,2015-04-18,,628.0,0,675,1,1.0,0.0,
234,ce,t0025007,Rent Change,2016-05-01,C0007E,2015-04-18,2017-04-30,639.0,1,675,1,1.0,11.0,364 days 00:00:00.000000000
7155,sh,t0025010,Rent Change,2015-04-10,TH5828,2015-04-21,2016-05-02,695.0,1,1006,2,1.5,0.0,388 days 00:00:00.000000000
5317,sh,t0025011,Rent Change,2016-05-31,WC5933N,2015-05-30,2017-07-05,643.0,1,963,2,1.5,0.0,400 days 00:00:00.000000000
7159,sh,t0025022,Rent Change,2015-04-16,WC5936B,2015-06-15,2015-11-10,639.0,1,950,2,2.0,0.0,208 days 00:00:00.000000000
