,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
8671,fh,t0039672,Rent Change,6/20/2018,1112BB,8/31/2018,,1135,0,912,2,1,160,
8557,fh,t0039676,Rent Change,8/10/2018,1066D,8/10/2018,,999,0,700,1,1,0,
427,ce,t0039678,Rent Change,6/30/2018,C5250C,5/25/2018,,1000,0,955,2,2,0,
8675,fh,t0039683,Rent Change,4/30/2018,1070C,8/10/2018,,1210,0,912,2,1,0,
8672,fh,t0039686,Rent Change,12/18/2018,1112BB,12/1/2018,,1235,0,912,2,1,0,
1337,ce,t0039691,Rent Change,5/31/2018,C5307J,5/5/2018,,754,0,675,1,1,0,
8617,mpg,t0039706,Rent Change,6/30/2018,1968-07B,5/31/2018,,1175,0,835,1,1,0,
8676,fh,t0039710,Rent Change,7/13/2018,1092C,7/12/2018,,1135,0,912,2,1,0,
8677,fh,t0039710,Rent Change,12/31/2018,1092C,7/12/2018,,1184,0,912,2,1,49,
1618,ce,t0039711,Rent Change,6/4/2018,C5326F,6/15/2018,,780,0,675,1,1,0,
4073,sh,t0039723,Rent Change,12/1/2017,SH5922,12/22/2017,5/7/2018,760,1,1006,2,1.5,0,157 days 00:00:00.000000000
8653,mpg,t0039728,Rent Change,5/4/2018,1974-04A,5/6/2018,,1349,0,960,2,2,0,
8649,mpg,t0039733,Rent Change,5/10/2018,2024-11C,5/18/2018,,1119,0,835,1,1,0,
8650,mpg,t0039733,Rent Change,5/15/2018,2024-11C,5/18/2018,,1155,0,835,1,1,36,
3612,ce,t0039735,Rent Change,6/30/2018,M0038E,5/30/2018,,830,0,875,2,1.5,0,
4096,sh,t0039737,Rent Change,5/31/2018,SH5930,5/18/2018,,853,0,1006,2,1.5,0,
6860,sh,t0039739,Rent Change,5/7/2018,SH5904,5/15/2018,,775,0,1006,2,1.5,0,
4103,sh,t0039739,Rent Change,5/21/2018,SH5932,6/30/2018,,775,0,1006,2,1.5,0,
6651,sh,t0039739,Rent Change,5/21/2018,SH5832,6/30/2018,,800,0,1006,3,1.5,25,
8646,mpg,t0039749,Rent Change,6/30/2018,2030-07A,6/7/2018,,1210,0,895,2,2,0,
8678,mpg,t0039750,Rent Change,5/17/2018,2006-04B,8/1/2018,,1050,0,835,1,1,0,
8680,mpg,t0039750,Rent Change,5/22/2018,1998-02B,8/1/2018,,1449,0,930,2,2,399,
8679,mpg,t0039750,Rent Change,7/3/2018,2006-04B,8/1/2018,,1050,0,835,1,1,-399,
281,ce,t0039752,Rent Change,5/11/2018,C0007K,6/2/2018,,720,0,675,1,1,0,
6175,sh,t0039764,Rent Change,6/1/2018,WC5933P,8/30/2018,12/21/2018,715,1,963,2,1.5,0,203 days 00:00:00.000000000
7490,fh,t0039772,Rent Change,9/10/2018,1031C,9/2/2018,,1135,0,912,2,1,0,
8468,fh,t0039784,Rent Change,5/11/2018,1060B,6/15/2018,,984,0,700,1,1,0,
7792,fh,t0039784,Rent Change,10/14/2018,1096A,10/18/2018,,1135,0,912,2,1,151,
3541,ce,t0039787,Rent Change,7/31/2018,M0032D,7/19/2018,,770,0,875,2,1.5,0,
6983,sh,t0039804,Rent Change,6/19/2018,WC5933D,6/30/2018,,715,0,963,2,1.5,0,
5336,sh,t0039804,Rent Change,6/20/2018,WC5933Q,6/30/2018,,715,0,963,2,1.5,0,
6389,sh,t0039804,Rent Change,6/20/2018,FT5880K,6/30/2018,,685,0,984,2,1,-30,
6162,sh,t0039805,Rent Change,7/3/2018,SH5807,7/15/2018,,900,0,1156,3,1.5,0,
7314,sh,t0039805,Rent Change,7/3/2018,WAIT-3TB,7/15/2018,,840,0,1156,3,,-60,
7086,sh,t0039810,Rent Change,5/15/2018,WC5966A,5/31/2018,12/6/2018,715,1,963,2,1.5,0,205 days 00:00:00.000000000
8684,fh,t0039815,Rent Change,9/10/2018,1131C,9/2/2018,,1060,0,912,2,1,0,
