CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C5273F,Residential,us,,,,,,8/4/2015,5273 Camelot Drive F,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273G,Residential,us,,,,,,7/29/2017,5273 Camelot Drive G,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273H,Residential,us,,,,,,,5273 Camelot Drive H,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273J,Residential,us,,,,,,6/20/2018,5273 Camelot Drive J,,,,Fairfield,OH,45014,800,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273K,Residential,us,,,,,,11/24/2017,5273 Camelot Drive K,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273L,Residential,us,,,,,,9/24/2018,5273 Camelot Drive L,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5273M,Residential,us,,,,,,6/20/2017,5273 Camelot Drive M,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303A,Residential,us,,,,,4/14/2019,1/5/2019,5303 Camelot Drive A,,,,Fairfield,OH,45014,665,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303B,Residential,us,,,,,,8/25/2017,5303 Camelot Drive B,,,,Fairfield,OH,45014,665,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303C,Residential,us,,,,,,10/18/2018,5303 Camelot Drive C,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303D,Residential,us,,,,,,1/16/2018,5303 Camelot Drive D,,,,Fairfield,OH,45014,665,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303E,Residential,us,,,,,,8/29/2017,5303 Camelot Drive E,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303F,Residential,us,,,,,,11/22/2017,5303 Camelot Drive F,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303G,Residential,us,,,,,,4/18/2016,5303 Camelot Drive G,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303H,Residential,us,,,,,,5/31/2016,5303 Camelot Drive H,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303J,Residential,us,,,,,,2/6/2018,5303 Camelot Drive J,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303K,Residential,us,,,,,,12/18/2018,5303 Camelot Drive K,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303L,Residential,us,,,,,,8/12/2017,5303 Camelot Drive L,,,,Fairfield,OH,45014,790,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5303M,Residential,us,,,,,,4/16/2018,5303 Camelot Drive M,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305A,Residential,us,,,,,2/25/2019,2/25/2019,5305 Camelot Drive A,,,,Fairfield,OH,45014,770,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,"Under Construction- Joe, all leaks and drywall have been repaired, ready for rehab"
ce,,,C5305B,Residential,us,,,,,,10/19/2016,5305 Camelot Drive B,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305C,Residential,us,,,,,,3/25/2018,5305 Camelot Drive C,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305D,Residential,us,,,,,,3/21/2017,5305 Camelot Drive D,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5305E,Residential,us,,,,,,12/20/2018,5305 Camelot Drive E,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
